personnummer	namn
200101202380	Lisa C
200504242397	Maria H
200809282387	Karl C
200312142391	Karin R
200612022392	Niklas Z
200807222393	Karin Q
200309192391	Olof H
200510152390	Olof P
200009242389	Amanda L
200911152395	Eva J
200204152383	Peter G
200602042392	Maja G
200602162380	Lisa Q
200902132380	Amanda Y
200512092388	Björn F
200104192398	Karin RE
200701132383	Anna H
200005092390	Björn D
200407152396	Maria P
200108182395	Per D
200709022388	Kristina I
200801202383	Henrik D
200807122395	Björn E
200001212380	Eva E
200307082396	Eva O
200106172380	Lisa CZ
200902122381	Elin A
200502062383	Karin D
200710172396	Gustav Q
200411272388	Olof D
200501122394	Ingrid R
200110142395	Lisa U
200001262393	Amanda H
200503092389	Niklas I
200006152383	Elin D
200002082394	Per O
200103222386	Magnus P
200812152395	Ingrid V
200703072389	Jörgen L
200610102394	Erik G
200305162398	Sara C
200401012380	Magnus PV
200104102397	Niklas U
200411302391	Gustav S
200503112385	Erik X
200607052388	Anna M
200801082389	Fredrik L
200009182387	Elin N
200807102389	Henrik J
200804022382	Johan A
200602212383	Anders N
200812042380	Eva G
200711212381	Lars V
200108252388	Björn B
200210102398	Per T
200509092383	Peter O
200803272384	Sofia X
200307162388	Olof B
200104092390	Peter H
200404062390	Karin J
200005112388	Björn C
200708112396	Lisa L
200301172383	Eva P
200410042394	Lars F
200604172395	Karl B
200007082381	Annika Q
200611072380	Emil P
200305282394	Magnus I
200406232397	Emil D
200402072383	Johan F
200610152399	Amanda T
200609112388	Sara N
200203202387	Lars Q
200801252396	Niklas B
200112302393	Sofia P
200002072395	Björn G
200201012390	Ingrid H
200312062391	Johan D
200501142392	Niklas L
200811292382	Magnus B
200210042396	Sofia M
200707062394	Peter J
200610242380	Erik L
200304152382	Ingrid F
200612062380	Lars E
200709112387	Sofia I
200807042387	Karin B
200809042385	Olof HP
200303012389	Per X
200007232390	Lars B
200402082382	Gustav K
200204252381	Emil J
200106222391	Emil K
200808222392	Elin T
200508252392	Maria PS
200808042386	Maria C
200610032385	Niklas F
200302242391	Björn K
200604102392	Fredrik C
200305232399	Erik V
200711012385	Lisa R
200411052384	Helena Z
200805092384	Emil W
200410232383	Björn A
200407302397	Emil M
200506022383	Anders R
200702262395	Kristina C
200202042396	Sara CZ
200007162381	Lisa P
200809292394	Anders O
200901132381	Anders F
200104122387	Johan Z
200706152394	Eva PB
200005102397	Annika R
200312242381	Annika D
200107092389	Henrik K
200101072395	Fredrik E
200107282394	Gustav H
200104172382	Amanda E
200608172383	Sofia XF
200203312392	Karl X
200509142394	Björn FS
200602072381	Anders Z
200906242391	Per OC
200012162392	Jörgen O
200012302394	Annika J
200910142389	Anna C
200608032397	Helena Y
200105202386	Maja E
200601162399	Sofia N
200801132390	Erik J
200009262395	Henrik JD
200108262387	Henrik T
200003272390	Lisa G
200808092381	Eva I
200002035947	Karl N
200008012395	Helena YT
200408042398	Annika H
200811132380	Lars EI
200105132393	Niklas A
200810102384	Anders FF
200707052387	Sofia NL
200706082393	Amanda K
200210192381	Björn R
200603102385	Gustav O
200507122398	Anna CR
200707222394	Peter Z
200204072383	Peter C
200710112392	Emil KZ
200901152389	Karl BD
200704192392	Lisa E
200009182395	Helena T
200811112382	Björn GM
200810112383	Niklas R
200103112397	Kristina M
200803052380	Annika B
200110052396	Elin J
200608162392	Sofia L
200808162382	Lars C
200011272382	Lisa S
200012312385	Helena Q
200611202383	Karin H
200312192388	Lisa T
200109192385	Anders I
200704082395	Anna A
200201052396	Per C
200102022381	Henrik F
200105312383	Peter P
200807192398	Sofia PI
200405312398	Maja P
200010222396	Magnus N
200801132382	Peter I
200606072395	Maria L
200208292383	Jörgen I
200604052381	Anders Y
200111112397	Sofia A
200009082397	Jörgen Y
200511222382	Peter OP
200401242383	Maria B
200507072387	Magnus O
200605122399	Maja S
200309222388	Linda C
200610012387	Björn DB
200906302393	Maja A
200505252387	Lisa V
200706212388	Kristina J
200803202381	Lars D
200109122382	Björn H
200806012399	Lars U
200903282382	Peter A
200112192380	Magnus E
200509162384	Erik I
200002282390	Maria U
200502162381	Eva X
200406212399	Ingrid HD
200901272385	Jörgen R
200807212386	Erik O
200110302395	Anders M
200210092383	Sara Y
200302052394	Magnus A
200801242389	Maria BI
200910042399	Sofia NF
200803152388	Magnus H
200501222384	Annika HV
200203192398	Linda H
200703082388	Sara S
200107132383	Kristina V
200801012386	Anna Y
200010072395	Anna O
200806272381	Eva GF
200012122388	Ingrid A
200501172399	Björn M
200111122388	Annika E
200602062382	Amanda TB
200606282390	Maria X
200809082399	Sofia V
200102282399	Helena P
200506272384	Ingrid Y
200701112393	Maja AI
