Personnummer	Namn	Valid
200101202380	Ingrid B	true
200504242396	Anders V	false
200809282387	Karl H	true
200312142391	Maria O	true
200612022392	Eva Z	true
200807222392	Eva Q	false
200309192390	Johan K	false
200510152391	Lisa N	false
200009242389	Lisa J	true
200911152395	Sara V	true
200204152383	Lisa S	true
200602042392	Maria G	true
200602162380	Jörgen Q	true
200902132380	Maja J	true
200512092388	Jörgen I	true
200104192399	Karl C	false
200701132383	Sara T	true
200005092391	Magnus U	false
200407152396	Anders X	true
200108182394	Johan Q	false
200709022388	Lars J	true
200801202383	Jörgen E	true
200807122395	Per E	true
200001212380	Olof N	true
200307082396	Kristina R	true
200106172380	Annika X	true
200902122381	Kristina V	true
200502062382	Sofia T	false
200710172397	Gustav I	false
200411272388	Peter Z	true
200501122395	Ingrid W	false
200110142395	Björn G	true
200001262393	Björn M	true
200503092388	Per B	false
200006152383	Niklas X	true
200002082395	Johan R	false
200103222386	Maja K	true
200812152394	Karl X	false
200703072389	Maja W	true
200610102394	Helena V	true
200305162399	Jörgen G	false
200401012380	Maja F	true
200104102397	Lisa X	true
200411302391	Amanda F	true
200503112384	Maja G	false
200607052388	Per P	true
200801082389	Linda U	true
200009182386	Per ES	false
200807102388	Ingrid Q	false
200804022382	Maja A	true
200602212383	Ingrid C	true
200812042380	Helena F	true
200711212381	Peter M	true
200108252388	Elin X	true
200210102398	Anna W	true
200509092383	Anders U	true
200803272384	Lisa W	true
200307162389	Sofia O	false
200104092390	Maria P	true
200404062390	Annika L	true
200005112389	Fredrik W	false
200708112396	Amanda S	true
200301172382	Sara Z	false
200410042394	Anders A	true
200604172394	Annika Z	false
200007082381	Maja Z	true
200611072380	Björn J	true
200305282394	Karin J	true
200406232397	Maria A	true
200402072383	Annika U	true
200610152398	Elin B	false
200609112388	Lisa B	true
200203202387	Anna E	true
200801252396	Jörgen GD	true
200112302393	Emil I	true
200002072395	Per S	true
200201012390	Amanda H	true
200312062391	Olof A	true
200501142393	Anna D	false
200811292382	Olof M	true
200210042396	Peter P	true
200707062394	Lisa M	true
200610242380	Helena Z	true
200304152382	Anna EN	true
200612062380	Henrik X	true
200709112387	Gustav C	true
200807042386	Magnus E	false
200809042385	Erik R	true
200303012389	Gustav U	true
200007232391	Peter PI	false
200402082382	Annika G	true
200204252381	Sara O	true
200106222390	Henrik K	false
200808222392	Eva A	true
200508252392	Emil J	true
200808042386	Linda O	true
200610032385	Maja AC	true
200302242391	Fredrik WF	true
200604102392	Ingrid N	true
200305232399	Lisa A	true
200711012385	Emil JX	true
200411052384	Elin R	true
200805092384	Henrik V	true
200410232383	Erik X	true
200407302397	Helena N	true
200506022382	Peter I	false
200702262395	Anders F	true
200202042396	Lars O	true
200007162381	Fredrik C	true
200809292395	Ingrid U	false
200901132381	Niklas F	true
200104122387	Lars K	true
200706152394	Henrik I	true
200005102397	Elin G	true
200312242380	Peter N	false
200107092388	Magnus L	false
200101072395	Peter Q	true
200107282395	Johan E	false
200104172382	Linda N	true
200608172382	Amanda L	false
200203312392	Annika O	true
200509142394	Johan G	true
200602072381	Karin Q	true
200906242391	Björn W	true
200012162392	Erik W	true
200012302394	Per PA	true
200910142389	Fredrik F	true
200608032397	Amanda X	true
200105202386	Kristina VO	true
200601162399	Kristina M	true
200801132390	Eva X	true
200009262394	Gustav G	false
200108262387	Karl G	true
200003272390	Emil T	true
200808092381	Lars P	true
200002035946	Peter R	false
200008012395	Maria E	true
200408042398	Peter B	true
200811132380	Olof X	true
200105132393	Johan H	true
200810102384	Amanda I	true
200707052387	Karin Z	true
200706082393	Sara I	true
200210192381	Eva K	true
200603102384	Per U	false
200507122398	Emil JR	true
200707222394	Johan N	true
200204072383	Maria OJ	true
200710112392	Lisa C	true
200901152388	Lars PY	false
200704192393	Lars Z	false
200009182394	Sofia L	false
200811112382	Maja O	true
200810112382	Fredrik H	false
200103112397	Amanda V	true
200803052380	Olof V	true
200110052396	Elin J	true
200608162393	Peter O	false
200808162382	Jörgen GX	true
200011272382	Emil Q	true
200012312384	Maja X	false
200611202382	Sara G	false
200312192388	Björn P	true
200109192384	Sofia OC	false
200704082394	Björn Q	false
200201052397	Peter BR	false
200102022380	Lisa CQ	false
200105312383	Anna K	true
